입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,CV_MacroF1,CV_std
instt_title,char,"(2, 4)",1,1.0,False,False,0.7979708385397347,0.01775502709212362
instt_title,char,"(2, 4)",1,0.9,False,False,0.7979708385397347,0.01775502709212362
instt_title,char,"(2, 4)",1,0.9,True,False,0.7977955741104252,0.020687431835766122
instt_title,char,"(2, 4)",1,1.0,True,False,0.7977955741104252,0.020687431835766122
instt_title,char_wb,"(2, 3)",2,0.9,True,True,0.79765448855292,0.013183640459448476
instt_title,char_wb,"(2, 3)",2,1.0,True,True,0.79765448855292,0.013183640459448476
instt_title,char_wb,"(2, 5)",2,0.9,True,True,0.7976280042227176,0.018172221007806674
instt_title,char_wb,"(2, 5)",2,1.0,True,True,0.7976280042227176,0.018172221007806674
instt_title,char_wb,"(2, 3)",1,0.9,False,False,0.7976236169652065,0.012880142847006528
instt_title,char_wb,"(2, 3)",1,1.0,False,False,0.7976236169652065,0.012880142847006528
instt_title,char_wb,"(2, 4)",2,0.9,True,False,0.7975079409634876,0.015545712761931734
instt_title,char_wb,"(2, 4)",2,1.0,True,False,0.7975079409634876,0.015545712761931734
instt_title,char,"(2, 4)",2,0.9,True,True,0.7973232190363824,0.011523783812217648
instt_title,char,"(2, 4)",2,1.0,True,True,0.7973232190363824,0.011523783812217648
instt_title,char,"(2, 3)",3,0.9,False,False,0.7972906497039578,0.01777668823264696
instt_title,char,"(2, 3)",3,1.0,False,False,0.7972906497039578,0.01777668823264696
instt_title,char_wb,"(2, 3)",3,0.9,True,False,0.7970494491799538,0.016885041874751802
instt_title,char_wb,"(2, 3)",3,1.0,True,False,0.7970494491799538,0.016885041874751802
instt_title,char,"(2, 4)",2,0.9,True,False,0.7967972658717726,0.020528791075252406
instt_title,char,"(2, 4)",2,1.0,True,False,0.7967972658717726,0.020528791075252406
instt_title,char,"(2, 5)",1,0.9,True,False,0.796676038414921,0.017605574470546132
instt_title,char,"(2, 5)",1,1.0,True,False,0.796676038414921,0.017605574470546132
instt_title,char_wb,"(2, 4)",1,1.0,True,False,0.7965754771324548,0.017149990817939345
instt_title,char_wb,"(2, 4)",1,0.9,True,False,0.7965754771324548,0.017149990817939345
title,char_wb,"(2, 4)",2,0.9,True,True,0.7965711375784457,0.014947800516142742
title,char_wb,"(2, 4)",2,1.0,True,True,0.7965711375784457,0.014947800516142742
instt_title,char_wb,"(2, 4)",3,0.9,True,True,0.7964586590002654,0.016295773194132616
instt_title,char_wb,"(2, 4)",3,1.0,True,True,0.7964586590002654,0.016295773194132616
title,char_wb,"(2, 4)",2,0.9,False,True,0.7963672863877632,0.015403728435455188
title,char_wb,"(2, 4)",2,1.0,False,True,0.7963672863877632,0.015403728435455188
title,char_wb,"(2, 5)",2,0.9,True,False,0.7963092279167902,0.01830866878299146
title,char_wb,"(2, 5)",2,1.0,True,False,0.7963092279167902,0.01830866878299146
instt_title,char_wb,"(2, 4)",3,1.0,True,False,0.7960537128250749,0.014060436032644286
instt_title,char_wb,"(2, 4)",3,0.9,True,False,0.7960537128250749,0.014060436032644286
instt_title,char,"(2, 3)",1,1.0,False,False,0.796041614499748,0.016312730610497976
instt_title,char,"(2, 3)",1,0.9,False,False,0.796041614499748,0.016312730610497976
instt_title,char_wb,"(2, 4)",1,1.0,True,True,0.7957170869797954,0.011115337747847199
instt_title,char_wb,"(2, 4)",1,0.9,True,True,0.7957170869797954,0.011115337747847199
instt_title,char,"(2, 4)",3,1.0,True,False,0.7957121623129165,0.016653696125335772
instt_title,char,"(2, 4)",3,0.9,True,False,0.7957121623129165,0.016653696125335772
instt_title,char,"(2, 5)",3,1.0,True,False,0.7954991474689471,0.015347263206023743
instt_title,char,"(2, 5)",3,0.9,True,False,0.7954991474689471,0.015347263206023743
title,char_wb,"(2, 5)",2,0.9,True,True,0.7952717485106825,0.0164266738931428
title,char_wb,"(2, 5)",2,1.0,True,True,0.7952717485106825,0.0164266738931428
instt_title,char,"(2, 5)",2,0.9,False,False,0.7950820352577257,0.01801000603643182
instt_title,char,"(2, 5)",2,1.0,False,False,0.7950820352577257,0.01801000603643182
instt_title,char,"(2, 4)",3,0.9,False,False,0.795075737689894,0.014787616850535895
instt_title,char,"(2, 4)",3,1.0,False,False,0.795075737689894,0.014787616850535895
title,char_wb,"(2, 5)",2,1.0,False,False,0.7950412102041481,0.01763140243150787
title,char_wb,"(2, 5)",2,0.9,False,False,0.7950412102041481,0.01763140243150787
instt_title,char,"(2, 4)",3,1.0,False,True,0.7946451277793777,0.012473020235434892
instt_title,char,"(2, 4)",3,0.9,False,True,0.7946451277793777,0.012473020235434892
title,char_wb,"(2, 5)",2,0.9,False,True,0.7946207353783958,0.01558745636183117
title,char_wb,"(2, 5)",2,1.0,False,True,0.7946207353783958,0.01558745636183117
instt_title,char_wb,"(2, 3)",3,1.0,False,True,0.794459445397115,0.014688637782530918
instt_title,char_wb,"(2, 3)",3,0.9,False,True,0.794459445397115,0.014688637782530918
instt_title,char_wb,"(2, 3)",2,0.9,False,False,0.7942681862988363,0.011454753788895045
instt_title,char_wb,"(2, 3)",2,1.0,False,False,0.7942681862988363,0.011454753788895045
instt_title,char_wb,"(2, 5)",1,1.0,True,False,0.7941236952297251,0.013537926615182926
instt_title,char_wb,"(2, 5)",1,0.9,True,False,0.7941236952297251,0.013537926615182926
instt_title,char,"(2, 5)",1,1.0,False,False,0.7938055506405493,0.015907522255770915
instt_title,char,"(2, 5)",1,0.9,False,False,0.7938055506405493,0.015907522255770915
instt_title,char_wb,"(2, 3)",2,1.0,False,True,0.7937689471450475,0.008114574445596752
instt_title,char_wb,"(2, 3)",2,0.9,False,True,0.7937689471450475,0.008114574445596752
instt_title,char_wb,"(2, 5)",3,0.9,True,False,0.7936478341740075,0.012739442170288265
instt_title,char_wb,"(2, 5)",3,1.0,True,False,0.7936478341740075,0.012739442170288265
instt_title,char,"(2, 4)",2,1.0,False,False,0.7936291544759563,0.01770211847824795
instt_title,char,"(2, 4)",2,0.9,False,False,0.7936291544759563,0.01770211847824795
instt_title,char_wb,"(2, 3)",3,0.9,False,False,0.7933862035532466,0.013249017864700592
instt_title,char_wb,"(2, 3)",3,1.0,False,False,0.7933862035532466,0.013249017864700592
instt_title,char_wb,"(2, 5)",3,0.9,True,True,0.7933219161689982,0.016039365696968108
instt_title,char_wb,"(2, 5)",3,1.0,True,True,0.7933219161689982,0.016039365696968108
instt_title,char_wb,"(2, 5)",3,1.0,False,False,0.7930469972022272,0.01368083933244212
instt_title,char_wb,"(2, 5)",3,0.9,False,False,0.7930469972022272,0.01368083933244212
instt_title,char,"(2, 5)",3,1.0,False,False,0.7928679275685944,0.015621495847190511
instt_title,char,"(2, 5)",3,0.9,False,False,0.7928679275685944,0.015621495847190511
instt_title,char_wb,"(2, 5)",2,1.0,True,False,0.7927709178042907,0.014385738834576282
instt_title,char_wb,"(2, 5)",2,0.9,True,False,0.7927709178042907,0.014385738834576282
instt_title,char_wb,"(2, 5)",1,0.9,True,True,0.7925214420082336,0.012545360236898208
instt_title,char_wb,"(2, 5)",1,1.0,True,True,0.7925214420082336,0.012545360236898208
instt_title,char,"(2, 4)",1,1.0,True,True,0.7923353300851783,0.017564209751366005
instt_title,char,"(2, 4)",1,0.9,True,True,0.7923353300851783,0.017564209751366005
instt_title,char,"(2, 4)",2,0.9,False,True,0.7921407005623532,0.013260083885584513
instt_title,char,"(2, 4)",2,1.0,False,True,0.7921407005623532,0.013260083885584513
instt_title,char_wb,"(2, 4)",2,0.9,False,False,0.7920045955512707,0.011822627259928805
instt_title,char_wb,"(2, 4)",2,1.0,False,False,0.7920045955512707,0.011822627259928805
instt_title,char_wb,"(2, 4)",1,0.9,False,False,0.7919191264935821,0.014747733268270904
instt_title,char_wb,"(2, 4)",1,1.0,False,False,0.7919191264935821,0.014747733268270904
instt_title,char_wb,"(2, 4)",1,0.9,False,True,0.7917065672924983,0.01209185724387914
instt_title,char_wb,"(2, 4)",1,1.0,False,True,0.7917065672924983,0.01209185724387914
title,char,"(3, 5)",1,1.0,False,True,0.7913471111702644,0.026221390186657353
title,char,"(3, 5)",1,0.9,False,True,0.7913471111702644,0.026221390186657353
instt_title,char_wb,"(2, 4)",2,1.0,False,True,0.7913273626292952,0.010424956352511361
instt_title,char_wb,"(2, 4)",2,0.9,False,True,0.7913273626292952,0.010424956352511361
instt_title,char_wb,"(2, 4)",2,1.0,True,True,0.7910122433671003,0.012344394494562575
instt_title,char_wb,"(2, 4)",2,0.9,True,True,0.7910122433671003,0.012344394494562575
title,char,"(3, 5)",1,1.0,True,True,0.7907964908174082,0.026993440601483506
title,char,"(3, 5)",1,0.9,True,True,0.7907964908174082,0.026993440601483506
title,char_wb,"(3, 5)",1,0.9,True,True,0.7889752125619107,0.023179569285736636
title,char_wb,"(3, 5)",1,1.0,True,True,0.7889752125619107,0.023179569285736636
title,char_wb,"(3, 5)",1,1.0,False,True,0.7885825336884069,0.023463563971054695
title,char_wb,"(3, 5)",1,0.9,False,True,0.7885825336884069,0.023463563971054695
instt_title,char_wb,"(2, 5)",2,1.0,False,False,0.7884880094346072,0.014568725270145822
instt_title,char_wb,"(2, 5)",2,0.9,False,False,0.7884880094346072,0.014568725270145822
instt_title,char_wb,"(2, 4)",3,1.0,False,False,0.7884648290369214,0.01771494619020848
instt_title,char_wb,"(2, 4)",3,0.9,False,False,0.7884648290369214,0.01771494619020848
instt_title,char,"(2, 5)",3,0.9,True,True,0.7882533843040798,0.015238345206916328
instt_title,char,"(2, 5)",3,1.0,True,True,0.7882533843040798,0.015238345206916328
instt_title,char_wb,"(2, 5)",1,0.9,False,False,0.7880539883505076,0.01180489214320648
instt_title,char_wb,"(2, 5)",1,1.0,False,False,0.7880539883505076,0.01180489214320648
instt_title,char_wb,"(2, 4)",3,0.9,False,True,0.7879862689123025,0.018035228040171433
instt_title,char_wb,"(2, 4)",3,1.0,False,True,0.7879862689123025,0.018035228040171433
instt_title,char_wb,"(2, 5)",2,0.9,False,True,0.7873336993976466,0.013004809547035806
instt_title,char_wb,"(2, 5)",2,1.0,False,True,0.7873336993976466,0.013004809547035806
instt_title,char,"(2, 4)",1,1.0,False,True,0.7867450916260971,0.013515751593467368
instt_title,char,"(2, 4)",1,0.9,False,True,0.7867450916260971,0.013515751593467368
instt_title,char,"(2, 5)",3,1.0,False,True,0.7863462282478035,0.014312351001544033
instt_title,char,"(2, 5)",3,0.9,False,True,0.7863462282478035,0.014312351001544033
title,char,"(3, 5)",3,0.9,False,False,0.7859178639622213,0.02059593664677526
title,char,"(3, 5)",3,1.0,False,False,0.7859178639622213,0.02059593664677526
instt_title,char_wb,"(2, 5)",3,0.9,False,True,0.7857816331194046,0.016661109262202295
