분류기,표현순위,입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,설정,CV_MacroF1,CV_std
LinearSVC,5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 30.0, 'class_weight': None}",0.8028670783391236,0.01989639300230863
LinearSVC,1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 3.0, 'class_weight': None}",0.8028434901496079,0.015370940242063253
LinearSVC,2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 3.0, 'class_weight': None}",0.8028434901496079,0.015370940242063253
LogReg(OvR),9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8026078298584037,0.03936610979132452
LogReg(OvR),10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8026078298584037,0.03936610979132452
LogReg(OvR),6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 30.0, 'class_weight': None}",0.8019761809808079,0.024160117009329615
LogReg(OvR),5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 30.0, 'class_weight': None}",0.8019761809808079,0.024160117009329615
LogReg(다항),3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 30.0, 'class_weight': None}",0.8012122327025226,0.02080804432255484
LogReg(다항),4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 30.0, 'class_weight': None}",0.8012122327025226,0.02080804432255484
LogReg(OvR),1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 10.0, 'class_weight': None}",0.8008654309470357,0.022112025103171312
LogReg(OvR),2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 10.0, 'class_weight': None}",0.8008654309470357,0.022112025103171312
LinearSVC,9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 10.0, 'class_weight': 'balanced'}",0.8008067511705509,0.013711814605313077
LinearSVC,10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 10.0, 'class_weight': 'balanced'}",0.8008067511705509,0.013711814605313077
LogReg(다항),2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 30.0, 'class_weight': None}",0.8007333786775431,0.022404141208106812
LogReg(다항),1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 30.0, 'class_weight': None}",0.8007333786775431,0.022404141208106812
LinearSVC,10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8004051177137302,0.01361088133718269
LinearSVC,9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8004051177137302,0.01361088133718269
LogReg(다항),9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8003945965639744,0.029535314447679283
LogReg(다항),10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8003945965639744,0.029535314447679283
LinearSVC,4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.7999276838143772,0.012860227234601139
LinearSVC,3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.7999276838143772,0.012860227234601139
LinearSVC,9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 10.0, 'class_weight': None}",0.7996073380098849,0.013057536667519737
LinearSVC,10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 10.0, 'class_weight': None}",0.7996073380098849,0.013057536667519737
LinearSVC,2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.7995999370843695,0.012682149967769429
LinearSVC,1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.7995999370843695,0.012682149967769429
LogReg(OvR),6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 1.0, 'class_weight': 'balanced'}",0.798709954800494,0.03236204233266606
LogReg(OvR),5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 1.0, 'class_weight': 'balanced'}",0.798709954800494,0.03236204233266606
LinearSVC,2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 0.3, 'class_weight': None}",0.7985786324631678,0.01979591585624772
LinearSVC,1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 0.3, 'class_weight': None}",0.7985786324631678,0.01979591585624772
LinearSVC,9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 30.0, 'class_weight': None}",0.7982954776171256,0.014204499187572012
LinearSVC,10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 30.0, 'class_weight': None}",0.7982954776171256,0.014204499187572012
LogReg(OvR),10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 30.0, 'class_weight': None}",0.7977242579765778,0.02497174929936402
LogReg(OvR),9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 30.0, 'class_weight': None}",0.7977242579765778,0.02497174929936402
